1918, 4570, 3351, 621, 396, 67, 10923, 300, 4066, 3092, 528, 1862, 158, 10007, -450, -32, -1314, 19135
8652, 26494, 10462, 1534, 2051, 340, 49532, 1417, 23066, 18204, 3208, 10026, 794, 56725, -2340, -155, -5429, 98323
