Fecha,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Renovable,"54,267","54,68","54,817","54,904","55,085","55,268","55,429","55,483","55,549","55,728","55,933","56,862","57,027","57,194","57,355","57,427","57,788","57,898","58,22","58,474","58,578","58,683","59,07","59,228"
No renovable,"45,733","45,32","45,183","45,096","44,915","44,732","44,571","44,517","44,451","44,272","44,067","43,138","42,973","42,806","42,645","42,573","42,212","42,102","41,78","41,526","41,422","41,317","40,93","40,772"
